,price,production_year,mileage,fuel_type,mark,model,fiscal_power
451,48000,2004.0,4999,Diesel,Citroen,Berlingo,7
452,123000,2016.0,99999,Diesel,Renault,Clio,6
453,75000,2000.0,249999,Diesel,Volkswagen,GOLF 4,6
454,68000,2002.0,299999,Essence,Honda,CR-V,11
455,153000,2015.0,69999,Diesel,Hyundai,H-100,10
456,210000,2013.0,139999,Diesel,Ford,Kuga,6
457,48000,2007.0,159999,Essence,Suzuki,Swift,7
458,140000,2010.0,299999,Diesel,Volkswagen,Touareg,12
459,290000,2013.0,99999,Diesel,BMW,Serie 3,8
460,135000,2014.0,109999,Diesel,Renault,Megane,6
461,63000,2007.0,179999,Diesel,Dacia,Logan,6
462,38000,1991.0,19999,Diesel,Peugeot,405,6
463,51000,2005.0,189999,Essence,Seat,Ibiza,6
464,119000,2017.0,4999,Essence,Fiat,500,7
